[2025-04-09 22:43:51,186] 15 root - INFO - Initiate the dataingestion
[2025-04-09 22:43:53,014] 57 root - INFO - Performed train test split on the dataframe
[2025-04-09 22:43:53,014] 58 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[2025-04-09 22:43:53,014] 62 root - INFO - Exporting train and test file path
[2025-04-09 22:43:53,068] 70 root - INFO - Exported train and test file path
[2025-04-09 22:43:53,069] 17 root - INFO - data initiation completed
[2025-04-09 22:43:53,073] 22 root - INFO - Initiate the data validation
[2025-04-09 22:43:53,093] 31 root - INFO - Required number of columns:2
[2025-04-09 22:43:53,093] 32 root - INFO - Columns in dataframe:31
[2025-04-09 22:43:53,093] 31 root - INFO - Required number of columns:2
[2025-04-09 22:43:53,093] 32 root - INFO - Columns in dataframe:31
[2025-04-09 22:43:53,227] 24 root - INFO - Data validation completed.
